Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Distr/60/St+Go;0%;12.48833656;0.548076928;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0%;41.66275787;0.299246997;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0%;12.48863316;0.548087835;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/60/Freeflow;0%;51.16705322;0.310741395;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/60/St+Go;0%;12.48848057;0.548076332;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Access/30/Freeflow;0%;28.912714;0.33616811;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Access/30/St+Go;0%;9.621914864;0.580894828;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Access/40/Freeflow;0%;35.62506104;0.315346301;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Access/40/St+Go;0%;11.82717037;0.541292012;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;MW;RUR/MW/>130/Freeflow;0%;142.7671356;72.69954681;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;MW;RUR/MW/>130/St+Go;0%;17.91503143;78.94793701;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;MW;URB/MW-Nat./80/Freeflow;0%;79.03366089;42.9388504;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;MW;URB/MW-Nat./80/St+Go;0%;15.47382641;85.56195068;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/MW-City/60/Freeflow;0%;62.73362732;40.25830078;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/MW-City/60/St+Go;0%;13.26994896;93.29741669;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/MW-City/70/Freeflow;0%;69.43365479;41.53696442;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/MW-City/70/St+Go;0%;14.39977264;90.07574463;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Trunk-City/50/Freeflow;0%;49.35812759;47.67198181;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Trunk-City/50/St+Go;0%;12.48863125;91.23970795;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Trunk-City/60/Freeflow;0%;57.2092247;47.62266159;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Trunk-City/60/St+Go;0%;12.48863316;91.23615265;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Distr/50/Freeflow;0%;42.95035934;52.90822601;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Distr/50/St+Go;0%;12.48866653;91.25119019;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Distr/60/Freeflow;0%;52.00070953;48.54052734;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Distr/60/St+Go;0%;12.48833656;91.24684143;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Local/50/Freeflow;0%;41.66275787;50.59958649;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Local/50/St+Go;0%;12.48863316;91.26190948;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Local/60/Freeflow;0%;51.16705322;48.86889267;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Local/60/St+Go;0%;12.48848057;91.24660492;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Access/30/Freeflow;0%;28.912714;56.59801102;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Access/30/St+Go;0%;9.621914864;102.9554138;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Access/40/Freeflow;0%;35.62506104;51.46168137;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Access/40/St+Go;0%;11.82717037;91.13111115;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;MW;RUR/MW/>130/Freeflow;0%;142.7671356;3.077766895;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;MW;RUR/MW/>130/St+Go;0%;17.91503143;3.340057135;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;MW;URB/MW-Nat./80/Freeflow;0%;79.03366089;1.817308307;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;MW;URB/MW-Nat./80/St+Go;0%;15.47382641;3.619583368;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/MW-City/60/Freeflow;0%;62.73362732;1.705406427;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/MW-City/60/St+Go;0%;13.26994896;3.949639797;ØGermany;;
